id_reg_nat,time,temperature_2m_mean (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),id_area
1098,2020-11-19,13.9,0.0,10.0,319,1.78,2
1099,2020-11-20,13.5,8.0,18.7,54,0.81,2
1100,2020-11-21,14.7,1.3,22.1,15,2.79,2
1101,2020-11-22,14.3,1.2,18.1,26,1.94,2
1102,2020-11-23,12.9,0.0,10.8,264,1.68,2
1103,2020-11-24,11.7,0.0,12.3,88,1.76,2
1104,2020-11-25,12.4,0.0,13.4,87,1.95,2
1105,2020-11-26,16.5,0.0,17.3,162,2.78,2
1106,2020-11-27,15.4,0.6,17.7,93,1.49,2
1107,2020-11-28,12.8,18.2,35.5,262,0.75,2
1108,2020-11-29,14.6,8.0,25.3,268,1.28,2
1109,2020-11-30,14.3,0.0,16.8,68,1.6,2
1110,2020-12-01,13.2,0.0,9.9,275,1.54,2
1111,2020-12-02,12.5,15.3,19.3,271,0.65,2
1112,2020-12-03,10.3,0.8,8.9,212,1.5,2
1113,2020-12-04,14.2,2.0,32.6,230,2.49,2
1114,2020-12-05,9.9,14.5,27.9,249,1.59,2
1115,2020-12-06,10.2,0.4,29.0,245,2.24,2
1116,2020-12-07,12.8,1.3,30.9,236,2.65,2
1117,2020-12-08,13.3,10.5,37.4,257,1.85,2
1118,2020-12-09,10.8,7.8,28.3,257,1.77,2
1119,2020-12-10,13.3,9.1,29.9,249,1.65,2
1120,2020-12-11,16.1,11.5,33.5,258,1.11,2
1121,2020-12-12,15.6,3.1,30.6,272,1.79,2
1122,2020-12-13,13.3,0.4,17.8,246,1.4,2
1123,2020-12-14,14.4,0.0,13.9,280,1.55,2
1124,2020-12-15,14.6,0.0,11.0,238,1.54,2
1125,2020-12-16,15.9,0.0,19.1,143,2.06,2
1126,2020-12-17,14.5,0.0,8.7,269,1.53,2
1127,2020-12-18,13.6,0.5,8.6,256,0.94,2
1128,2020-12-19,13.0,1.1,11.0,255,1.06,2
1129,2020-12-20,12.5,3.3,11.6,266,0.85,2
1130,2020-12-21,12.3,1.4,10.0,256,1.11,2
1131,2020-12-22,10.5,0.0,9.0,123,1.4,2
1132,2020-12-23,11.7,0.0,8.9,243,1.55,2
1133,2020-12-24,11.5,0.0,8.4,259,1.49,2
1134,2020-12-25,11.5,2.8,18.6,299,1.22,2
1135,2020-12-26,9.7,0.6,22.1,327,1.93,2
1136,2020-12-27,8.1,0.0,14.4,226,1.7,2
1137,2020-12-28,12.8,8.5,37.4,246,2.83,2
1138,2020-12-29,11.3,2.4,21.0,246,1.37,2
1139,2020-12-30,9.6,2.2,28.5,249,1.63,2
1140,2020-12-31,8.8,0.0,15.1,230,1.77,2
1141,2021-01-01,9.2,2.7,32.5,234,1.46,2
1142,2021-01-02,7.5,0.8,28.1,244,1.43,2
1143,2021-01-03,7.8,0.1,31.1,244,2.17,2
1144,2021-01-04,8.2,0.0,24.2,239,1.72,2
1145,2021-01-05,8.1,0.2,13.8,224,0.82,2
1146,2021-01-06,8.7,2.6,15.5,106,0.82,2
1147,2021-01-07,11.6,0.1,22.5,61,1.37,2
1148,2021-01-08,12.6,2.2,21.4,63,0.93,2
1149,2021-01-09,12.8,2.8,27.0,258,1.42,2
1150,2021-01-10,9.6,1.1,14.2,248,1.23,2
1151,2021-01-11,8.8,1.8,15.1,265,1.0,2
1152,2021-01-12,8.6,3.8,14.1,250,0.93,2
1153,2021-01-13,9.5,0.0,15.9,240,1.43,2
1154,2021-01-14,10.0,0.1,18.7,245,1.36,2
1155,2021-01-15,11.0,0.0,16.8,262,1.51,2
1156,2021-01-16,9.7,0.9,18.3,337,1.19,2
1157,2021-01-17,8.6,0.0,16.7,248,1.79,2
1158,2021-01-18,9.8,0.0,10.3,227,1.66,2
1159,2021-01-19,9.1,0.0,9.5,355,1.58,2
1160,2021-01-20,12.0,0.0,13.2,230,2.26,2
1161,2021-01-21,13.8,0.3,24.2,242,2.34,2
1162,2021-01-22,15.6,0.8,43.1,254,3.55,2
1163,2021-01-23,13.5,1.4,34.0,260,2.36,2
1164,2021-01-24,15.2,0.7,34.0,256,2.8,2
1165,2021-01-25,15.2,0.3,25.7,255,2.36,2
1166,2021-01-26,13.0,9.2,25.9,38,1.65,2
1167,2021-01-27,14.5,0.9,17.9,258,1.68,2
1168,2021-01-28,15.5,0.0,15.5,256,2.21,2
1169,2021-01-29,15.8,0.0,17.6,260,2.57,2
1170,2021-01-30,17.1,0.1,36.1,263,3.37,2
1171,2021-01-31,14.8,2.4,33.8,270,3.0,2
1172,2021-02-01,16.2,0.4,36.4,266,2.91,2
1173,2021-02-02,14.9,0.0,17.3,259,2.48,2
1174,2021-02-03,13.5,0.0,12.5,6,2.33,2
1175,2021-02-04,16.1,0.0,22.9,350,3.14,2
1176,2021-02-05,20.1,0.0,28.7,141,5.09,2
1177,2021-02-06,16.2,5.4,24.2,277,3.16,2
1178,2021-02-07,12.7,1.4,33.3,253,2.11,2
