time,temperature_2m_mean (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm)
2020-11-19,13.9,0.00,10.0,319,1.78
2020-11-20,13.5,8.00,18.7,54,0.81
2020-11-21,14.7,1.30,22.1,15,2.79
2020-11-22,14.3,1.20,18.1,26,1.94
2020-11-23,12.9,0.00,10.8,264,1.68
2020-11-24,11.7,0.00,12.3,88,1.76
2020-11-25,12.4,0.00,13.4,87,1.95
2020-11-26,16.5,0.00,17.3,162,2.78
2020-11-27,15.4,0.60,17.7,93,1.49
2020-11-28,12.8,18.20,35.5,262,0.75
2020-11-29,14.6,8.00,25.3,268,1.28
2020-11-30,14.3,0.00,16.8,68,1.60
2020-12-01,13.2,0.00,9.9,275,1.54
2020-12-02,12.5,15.30,19.3,271,0.65
2020-12-03,10.3,0.80,8.9,212,1.50
2020-12-04,14.2,2.00,32.6,230,2.49
2020-12-05,9.9,14.50,27.9,249,1.59
2020-12-06,10.2,0.40,29.0,245,2.24
2020-12-07,12.8,1.30,30.9,236,2.65
2020-12-08,13.3,10.50,37.4,257,1.85
2020-12-09,10.8,7.80,28.3,257,1.77
2020-12-10,13.3,9.10,29.9,249,1.65
2020-12-11,16.1,11.50,33.5,258,1.11
2020-12-12,15.6,3.10,30.6,272,1.79
2020-12-13,13.3,0.40,17.8,246,1.40
2020-12-14,14.4,0.00,13.9,280,1.55
2020-12-15,14.6,0.00,11.0,238,1.54
2020-12-16,15.9,0.00,19.1,143,2.06
2020-12-17,14.5,0.00,8.7,269,1.53
2020-12-18,13.6,0.50,8.6,256,0.94
2020-12-19,13.0,1.10,11.0,255,1.06
2020-12-20,12.5,3.30,11.6,266,0.85
2020-12-21,12.3,1.40,10.0,256,1.11
2020-12-22,10.5,0.00,9.0,123,1.40
2020-12-23,11.7,0.00,8.9,243,1.55
2020-12-24,11.5,0.00,8.4,259,1.49
2020-12-25,11.5,2.80,18.6,299,1.22
2020-12-26,9.7,0.60,22.1,327,1.93
2020-12-27,8.1,0.00,14.4,226,1.70
2020-12-28,12.8,8.50,37.4,246,2.83
2020-12-29,11.3,2.40,21.0,246,1.37
2020-12-30,9.6,2.20,28.5,249,1.63
2020-12-31,8.8,0.00,15.1,230,1.77
2021-01-01,9.2,2.70,32.5,234,1.46
2021-01-02,7.5,0.80,28.1,244,1.43
2021-01-03,7.8,0.10,31.1,244,2.17
2021-01-04,8.2,0.00,24.2,239,1.72
2021-01-05,8.1,0.20,13.8,224,0.82
2021-01-06,8.7,2.60,15.5,106,0.82
2021-01-07,11.6,0.10,22.5,61,1.37
2021-01-08,12.6,2.20,21.4,63,0.93
2021-01-09,12.8,2.80,27.0,258,1.42
2021-01-10,9.6,1.10,14.2,248,1.23
2021-01-11,8.8,1.80,15.1,265,1.00
2021-01-12,8.6,3.80,14.1,250,0.93
2021-01-13,9.5,0.00,15.9,240,1.43
2021-01-14,10.0,0.10,18.7,245,1.36
2021-01-15,11.0,0.00,16.8,262,1.51
2021-01-16,9.7,0.90,18.3,337,1.19
2021-01-17,8.6,0.00,16.7,248,1.79
2021-01-18,9.8,0.00,10.3,227,1.66
2021-01-19,9.1,0.00,9.5,355,1.58
2021-01-20,12.0,0.00,13.2,230,2.26
2021-01-21,13.8,0.30,24.2,242,2.34
2021-01-22,15.6,0.80,43.1,254,3.55
2021-01-23,13.5,1.40,34.0,260,2.36
2021-01-24,15.2,0.70,34.0,256,2.80
2021-01-25,15.2,0.30,25.7,255,2.36
2021-01-26,13.0,9.20,25.9,38,1.65
2021-01-27,14.5,0.90,17.9,258,1.68
2021-01-28,15.5,0.00,15.5,256,2.21
2021-01-29,15.8,0.00,17.6,260,2.57
2021-01-30,17.1,0.10,36.1,263,3.37
2021-01-31,14.8,2.40,33.8,270,3.00
2021-02-01,16.2,0.40,36.4,266,2.91
2021-02-02,14.9,0.00,17.3,259,2.48
2021-02-03,13.5,0.00,12.5,6,2.33
2021-02-04,16.1,0.00,22.9,350,3.14
2021-02-05,20.1,0.00,28.7,141,5.09
2021-02-06,16.2,5.40,24.2,277,3.16
2021-02-07,12.7,1.40,33.3,253,2.11
2021-02-08,14.7,0.70,33.4,237,3.30
2021-02-09,15.3,0.00,29.0,243,3.09
2021-02-10,16.6,0.40,37.9,259,3.28
2021-02-11,15.1,0.10,17.2,261,2.39
2021-02-12,15.2,0.10,25.8,265,2.53
2021-02-13,13.9,1.80,17.9,290,2.09
2021-02-14,11.2,0.80,24.0,69,1.71
2021-02-15,9.8,0.00,19.2,78,2.25
2021-02-16,11.0,0.00,9.1,46,2.42
2021-02-17,12.1,0.00,10.0,24,2.54
2021-02-18,14.4,0.00,13.1,257,3.36
2021-02-19,11.4,0.00,12.1,36,2.34
2021-02-20,15.8,0.00,28.3,134,3.72
2021-02-21,20.1,0.00,40.9,170,6.83
2021-02-22,12.1,7.40,27.0,236,0.80
2021-02-23,12.4,8.80,16.6,55,1.09
2021-02-24,13.2,0.10,14.0,58,2.35
2021-02-25,13.0,0.00,17.8,54,2.27
2021-02-26,12.6,0.00,16.6,53,2.32
2021-02-27,12.7,0.00,18.8,65,1.90
2021-02-28,13.2,0.00,23.3,61,2.53
2021-03-01,15.1,0.00,22.5,59,3.17
2021-03-02,15.6,0.00,14.7,55,2.35
2021-03-03,14.2,0.50,11.7,258,1.69
2021-03-04,13.5,1.30,12.5,39,2.35
2021-03-05,13.2,0.00,16.3,60,2.42
2021-03-06,13.3,0.20,19.9,54,2.23
2021-03-07,14.2,4.70,10.7,65,2.09
2021-03-08,13.4,4.40,26.7,266,2.12
2021-03-09,11.9,7.90,13.4,302,1.69
2021-03-10,11.6,0.00,13.5,61,2.44
2021-03-11,11.3,0.00,10.7,250,3.08
2021-03-12,12.5,0.00,17.2,262,3.46
2021-03-13,13.4,0.00,13.5,40,2.50
2021-03-14,12.3,1.00,21.1,283,2.62
2021-03-15,12.5,0.00,15.1,43,2.93
