time,temperature_2m_mean (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm)
2020-11-19,23.3,1.20,14.8,255,2.84
2020-11-20,21.2,0.00,12.5,29,3.39
2020-11-21,18.4,0.00,10.2,45,3.64
2020-11-22,18.3,0.00,10.0,72,3.63
2020-11-23,20.1,0.00,11.2,87,3.54
2020-11-24,20.9,0.00,12.5,113,3.82
2020-11-25,20.4,0.00,15.1,98,4.17
2020-11-26,21.0,0.00,21.4,56,4.45
2020-11-27,19.0,0.00,18.1,42,4.12
2020-11-28,19.0,0.00,14.8,51,3.78
2020-11-29,20.4,0.00,10.3,68,3.59
2020-11-30,20.8,0.00,9.2,63,3.49
2020-12-01,20.2,0.00,10.0,59,3.69
2020-12-02,20.9,0.00,10.9,67,3.80
2020-12-03,21.5,0.00,10.5,121,3.58
2020-12-04,21.5,0.00,10.4,167,3.69
2020-12-05,21.7,0.00,11.2,172,3.96
2020-12-06,22.8,0.00,10.0,145,3.58
2020-12-07,22.6,0.00,9.1,83,3.49
2020-12-08,22.2,0.00,9.5,127,3.73
2020-12-09,22.2,0.00,9.9,119,3.62
2020-12-10,22.3,0.00,9.1,129,3.21
2020-12-11,18.6,9.50,10.8,52,0.86
2020-12-12,18.3,6.50,9.2,148,0.97
2020-12-13,18.3,3.00,8.3,125,1.21
2020-12-14,18.7,6.00,9.0,92,1.05
2020-12-15,18.9,5.50,11.7,50,1.77
2020-12-16,16.8,2.60,13.8,45,1.67
2020-12-17,15.3,0.00,12.7,36,2.60
2020-12-18,14.4,0.00,9.4,31,2.65
2020-12-19,14.2,0.00,10.4,56,2.90
2020-12-20,15.9,0.00,12.0,57,3.26
2020-12-21,16.1,0.00,11.2,63,3.21
2020-12-22,16.2,0.00,12.1,103,3.35
2020-12-23,17.0,0.00,10.4,116,3.26
2020-12-24,17.3,0.00,11.2,84,3.32
2020-12-25,15.9,0.00,13.0,83,3.13
2020-12-26,17.0,0.00,10.7,109,3.14
2020-12-27,19.6,0.00,16.1,232,3.79
2020-12-28,15.6,0.00,15.3,359,3.70
