date,city,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice,label
20-01-01,Baraki,,,,,,,,,,
20-01-02,Baraki,,,,,,,,,,
20-01-03,Baraki,0.06434688018389483,0.20356930366598386,0.07970605733144187,0.03885722275293648,0.13845726955086993,0.06976317463318214,0.1973352353385767,0.05318406411341102,0.03834331572574933,3.7951304204042815
20-01-04,Baraki,,,,,,,,,,
20-01-05,Baraki,0.05997843078106995,0.10775706033702862,0.07159924993879348,0.03740342000663299,0.17317366349195054,0.05286567311448358,0.31543846707159084,0.0488398692337392,0.036330891669536965,4.701501748611398
20-01-06,Baraki,,,,,,,,,,
20-01-07,Baraki,,,,,,,,,,
20-01-08,Baraki,0.06355863905389357,0.1461914287362098,0.08897159939177197,0.039390077980933136,0.15766588434782425,0.07101718643030894,0.21798801474608362,0.06077515887826983,0.041216800060854125,4.419389280375826
20-01-09,Baraki,,,,,,,,,,
20-01-10,Baraki,,,,,,,,,,
20-01-11,Baraki,,,,,,,,,,
20-01-12,Baraki,,,,,,,,,,
20-01-13,Baraki,0.07180335828421902,0.2252634606647217,0.08640376660236622,0.04263931486881177,0.10932520794772722,0.07013930982513028,0.19230087440127053,0.0505580492897246,0.03701101796255842,3.396452295788012
20-01-14,Baraki,,,,,,,,,,
20-01-15,Baraki,0.2169172571818248,0.06696060280722703,0.06539161734677863,0.04024485546805481,0.17034505720077317,0.046080254144376,0.20028841640716363,0.040080502289775444,0.0356006497112723,2.763977485928705
20-01-16,Baraki,,,,,,,,,,
20-01-17,Baraki,,,,,,,,,,
20-01-18,Baraki,,,,,,,,,,
20-01-19,Baraki,,,,,,,,,,
20-01-20,Baraki,,,,,,,,,,
20-01-21,Baraki,,,,,,,,,,
20-01-22,Baraki,,,,,,,,,,
20-01-23,Baraki,0.0676211356863785,0.1837650678342573,0.08896697397977123,0.0451048411555297,0.14619604059801283,0.06930125137220167,0.19656604786533552,0.05307445835095836,0.0370834088022649,3.784198422171115
20-01-24,Baraki,,,,,,,,,,
20-01-25,Baraki,0.057563998909648514,0.09784867795675253,0.07721319647158183,0.03754074427705673,0.18087209306335583,0.05416876025371248,0.31612301746763943,0.04911276354285047,0.036198011145117726,4.708011874024027
20-01-26,Baraki,,,,,,,,,,
20-01-27,Baraki,,,,,,,,,,
20-01-28,Baraki,,,,,,,,,,
20-01-29,Baraki,,,,,,,,,,
20-01-30,Baraki,,,,,,,,,,
20-01-31,Baraki,,,,,,,,,,
20-02-01,Baraki,,,,,,,,,,
20-02-02,Baraki,,,,,,,,,,
20-02-03,Baraki,,,,,,,,,,
20-02-04,Baraki,0.05615465224269419,0.10496098969567588,0.0736659465117407,0.036645173928926036,0.1714652714753622,0.05586437532431122,0.3211798971114987,0.048393173124733506,0.03550727199676365,4.705172209423977
20-02-05,Baraki,,,,,,,,,,
20-02-06,Baraki,,,,,,,,,,
20-02-07,Baraki,,,,,,,,,,
20-02-08,Baraki,,,,,,,,,,
20-02-09,Baraki,0.06677761848911762,0.06880869975089728,0.05624194407197267,0.03749462351555163,0.19601287543524662,0.05343251734655843,0.33990952877305003,0.06218787709716133,0.0402879584685529,4.8737264843861094
20-02-10,Baraki,,,,,,,,,,
20-02-11,Baraki,,,,,,,,,,
20-02-12,Baraki,0.060807902800626555,0.18119480884943254,0.07441943831912487,0.03658918801521486,0.14552337729890083,0.0858765249753889,0.20127718432359765,0.06277702144105372,0.03492346062824629,3.96381775289202
20-02-13,Baraki,,,,,,,,,,
20-02-14,Baraki,0.05055933144684319,0.09531255368620466,0.07299116082884934,0.03702540209191211,0.20147728384777894,0.05592111821235952,0.30397256600324374,0.05281221729167673,0.03725531547991367,4.7412717182092
20-02-15,Baraki,,,,,,,,,,
20-02-16,Baraki,,,,,,,,,,
