id_pop,date, Population, Annual Change,id_area
1,1950-12-31,100000,,1
2,1951-12-31,105000,5.0,1
3,1952-12-31,114000,8.57,1
4,1953-12-31,123000,7.89,1
5,1954-12-31,133000,8.13,1
6,1955-12-31,143000,7.52,1
7,1956-12-31,155000,8.39,1
8,1957-12-31,168000,8.39,1
9,1958-12-31,181000,7.74,1
10,1959-12-31,196000,8.29,1
11,1960-12-31,212000,8.16,1
12,1961-12-31,227000,7.08,1
13,1962-12-31,240000,5.73,1
14,1963-12-31,253000,5.42,1
15,1964-12-31,267000,5.53,1
16,1965-12-31,282000,5.62,1
17,1966-12-31,298000,5.67,1
18,1967-12-31,314000,5.37,1
19,1968-12-31,332000,5.73,1
20,1969-12-31,350000,5.42,1
21,1970-12-31,370000,5.71,1
22,1971-12-31,390000,5.41,1
23,1972-12-31,413000,5.9,1
24,1973-12-31,437000,5.81,1
25,1974-12-31,462000,5.72,1
26,1975-12-31,488000,5.63,1
27,1976-12-31,517000,5.94,1
28,1977-12-31,546000,5.61,1
29,1978-12-31,578000,5.86,1
30,1979-12-31,611000,5.71,1
31,1980-12-31,646000,5.73,1
32,1981-12-31,681000,5.42,1
33,1982-12-31,713000,4.7,1
34,1983-12-31,747000,4.77,1
35,1984-12-31,782000,4.69,1
36,1985-12-31,819000,4.73,1
37,1986-12-31,858000,4.76,1
38,1987-12-31,898000,4.66,1
39,1988-12-31,940000,4.68,1
40,1989-12-31,984000,4.68,1
41,1990-12-31,1031000,4.78,1
42,1991-12-31,1074000,4.17,1
43,1992-12-31,1109000,3.26,1
44,1993-12-31,1144000,3.16,1
45,1994-12-31,1181000,3.23,1
46,1995-12-31,1219000,3.22,1
47,1996-12-31,1258000,3.2,1
48,1997-12-31,1299000,3.26,1
49,1998-12-31,1340000,3.16,1
50,1999-12-31,1384000,3.28,1
51,2000-12-31,1428000,3.18,1
52,2001-12-31,1471000,3.01,1
53,2002-12-31,1509000,2.58,1
54,2003-12-31,1549000,2.65,1
55,2004-12-31,1589000,2.58,1
56,2005-12-31,1630000,2.58,1
57,2006-12-31,1673000,2.64,1
58,2007-12-31,1716000,2.57,1
59,2008-12-31,1761000,2.62,1
60,2009-12-31,1807000,2.61,1
61,2010-12-31,1854000,2.6,1
62,2011-12-31,1902000,2.59,1
63,2012-12-31,1952000,2.63,1
64,2013-12-31,2003000,2.61,1
65,2014-12-31,2055000,2.6,1
66,2015-12-31,2108000,2.58,1
67,2016-12-31,2163000,2.61,1
68,2017-12-31,2220000,2.64,1
69,2018-12-31,2278000,2.61,1
70,2019-12-31,2333000,2.41,1
71,2020-12-31,2390000,2.44,1
72,2021-12-31,2447000,2.38,1
73,2022-12-31,2505000,2.37,1
74,2023-12-31,2565000,2.4,1
75,2024-12-31,2625000,2.34,1
76,2025-12-31,2686000,2.32,1
77,2026-12-31,2749000,2.35,1
78,2027-12-31,2812000,2.29,1
79,2028-12-31,2877000,2.31,1
80,2029-12-31,2942000,2.26,1
81,2030-12-31,3008000,2.24,1
82,2031-12-31,3075000,2.23,1
83,2032-12-31,3142000,2.18,1
84,2033-12-31,3211000,2.2,1
85,2034-12-31,3279000,2.12,1
86,2035-12-31,3348000,2.1,1
