id_reg_nat,time,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_direction_10m_dominant,et0_fao_evapotranspiration,id_area
1,2020-11-19,23.3,1.2,14.8,255,2.84,1
2,2020-11-20,21.2,0.0,12.5,29,3.39,1
3,2020-11-21,18.4,0.0,10.2,45,3.64,1
4,2020-11-22,18.3,0.0,10.0,72,3.63,1
5,2020-11-23,20.1,0.0,11.2,87,3.54,1
6,2020-11-24,20.9,0.0,12.5,113,3.82,1
7,2020-11-25,20.4,0.0,15.1,98,4.17,1
8,2020-11-26,21.0,0.0,21.4,56,4.45,1
9,2020-11-27,19.0,0.0,18.1,42,4.12,1
10,2020-11-28,19.0,0.0,14.8,51,3.78,1
11,2020-11-29,20.4,0.0,10.3,68,3.59,1
12,2020-11-30,20.8,0.0,9.2,63,3.49,1
13,2020-12-01,20.2,0.0,10.0,59,3.69,1
14,2020-12-02,20.9,0.0,10.9,67,3.8,1
15,2020-12-03,21.5,0.0,10.5,121,3.58,1
16,2020-12-04,21.5,0.0,10.4,167,3.69,1
17,2020-12-05,21.7,0.0,11.2,172,3.96,1
18,2020-12-06,22.8,0.0,10.0,145,3.58,1
19,2020-12-07,22.6,0.0,9.1,83,3.49,1
20,2020-12-08,22.2,0.0,9.5,127,3.73,1
21,2020-12-09,22.2,0.0,9.9,119,3.62,1
22,2020-12-10,22.3,0.0,9.1,129,3.21,1
23,2020-12-11,18.6,9.5,10.8,52,0.86,1
24,2020-12-12,18.3,6.5,9.2,148,0.97,1
25,2020-12-13,18.3,3.0,8.3,125,1.21,1
26,2020-12-14,18.7,6.0,9.0,92,1.05,1
27,2020-12-15,18.9,5.5,11.7,50,1.77,1
28,2020-12-16,16.8,2.6,13.8,45,1.67,1
29,2020-12-17,15.3,0.0,12.7,36,2.6,1
30,2020-12-18,14.4,0.0,9.4,31,2.65,1
31,2020-12-19,14.2,0.0,10.4,56,2.9,1
32,2020-12-20,15.9,0.0,12.0,57,3.26,1
33,2020-12-21,16.1,0.0,11.2,63,3.21,1
34,2020-12-22,16.2,0.0,12.1,103,3.35,1
35,2020-12-23,17.0,0.0,10.4,116,3.26,1
36,2020-12-24,17.3,0.0,11.2,84,3.32,1
37,2020-12-25,15.9,0.0,13.0,83,3.13,1
38,2020-12-26,17.0,0.0,10.7,109,3.14,1
39,2020-12-27,19.6,0.0,16.1,232,3.79,1
40,2020-12-28,15.6,0.0,15.3,359,3.7,1
41,2020-12-29,14.5,0.0,13.8,46,3.42,1
42,2020-12-30,15.0,0.0,14.6,50,2.85,1
43,2020-12-31,16.5,0.0,12.8,76,2.8,1
44,2021-01-01,18.6,0.0,14.3,121,3.4,1
45,2021-01-02,20.4,0.0,14.0,148,3.37,1
46,2021-01-03,20.7,0.0,12.7,153,3.27,1
47,2021-01-04,19.5,1.0,12.9,103,1.69,1
48,2021-01-05,19.4,0.4,16.7,136,2.08,1
49,2021-01-06,20.8,0.0,10.2,351,2.9,1
50,2021-01-07,20.9,0.1,12.2,77,2.84,1
51,2021-01-08,21.5,1.4,15.4,123,2.67,1
